"Story","Title","Result","Date","Stability","Duration (s)"
"Completing todos","Mark a task as completed","SUCCESS","2023-07-17T12:28:21.024319619Z[Etc/UTC]","0.0","4.18"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2023-07-17T12:28:25.353039462Z[Etc/UTC]","0.0","2.99"
"Deleting todos","Delete an active item","SUCCESS","2023-07-17T12:28:28.459468494Z[Etc/UTC]","0.0","0.92"
"Deleting todos","Delete all the items","SUCCESS","2023-07-17T12:28:29.455242859Z[Etc/UTC]","0.0","2.96"
"Filtering todos","View only the completed items","SUCCESS","2023-07-17T12:28:32.525855168Z[Etc/UTC]","0.0","1.0"
"Filtering todos","Viewing the items by status","SUCCESS","2023-07-17T12:28:33.637321423Z[Etc/UTC]","0.0","2.64"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2023-07-17T12:28:36.388285437Z[Etc/UTC]","0.0","0.65"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-07-17T12:28:37.146292924Z[Etc/UTC]","0.0","0.93"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2023-07-17T12:28:38.177136055Z[Etc/UTC]","0.0","1.74"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-17T12:29:13.064339719Z[Etc/UTC]","0.0","11.95"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-07-17T12:29:13.081465287Z[Etc/UTC]","0.0","1.16"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-07-17T12:29:14.332748939Z[Etc/UTC]","0.0","1.05"
"CompleteATodo","Should be able to complete a todo with page objects","SUCCESS","2023-07-17T12:29:15.497972753Z[Etc/UTC]","0.0","0.9"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-07-17T12:29:16.509628155Z[Etc/UTC]","0.0","0.88"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-07-17T12:29:17.48746612Z[Etc/UTC]","0.0","0.8"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-07-17T12:29:18.386204334Z[Etc/UTC]","0.0","0.81"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-07-17T12:29:19.289604691Z[Etc/UTC]","0.0","0.82"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-07-17T12:29:25.384100329Z[Etc/UTC]","0.0","0.91"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-07-17T12:29:26.40244143Z[Etc/UTC]","0.0","0.77"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-07-17T12:29:23.634269964Z[Etc/UTC]","0.0","0.76"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-07-17T12:29:24.492673479Z[Etc/UTC]","0.0","0.78"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-07-17T12:29:20.23281474Z[Etc/UTC]","0.0","1.14"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-07-17T12:29:21.474097504Z[Etc/UTC]","0.0","0.96"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-07-17T12:29:22.539992511Z[Etc/UTC]","0.0","0.98"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-07-17T12:29:07.183517115Z[Etc/UTC]","0.0","1.25"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-07-17T12:29:08.54035402Z[Etc/UTC]","0.0","0.88"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-07-17T12:28:42.313969376Z[Etc/UTC]","0.0","0.65"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-07-17T12:28:43.063228328Z[Etc/UTC]","0.0","0.51"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-07-17T12:28:43.705610402Z[Etc/UTC]","0.0","0.94"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-17T12:28:44.752408418Z[Etc/UTC]","0.0","0.87"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-17T12:28:45.702001244Z[Etc/UTC]","0.0","0.86"
"DownloadTheApp","Should be able to download the application","SUCCESS","2023-07-17T12:28:46.671652548Z[Etc/UTC]","0.0","11.31"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-07-17T12:29:03.320410026Z[Etc/UTC]","0.0","0.8"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-07-17T12:29:04.224746764Z[Etc/UTC]","0.0","0.97"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-07-17T12:29:01.494485386Z[Etc/UTC]","0.0","0.81"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-07-17T12:29:02.407481101Z[Etc/UTC]","0.0","0.78"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-07-17T12:28:58.092719626Z[Etc/UTC]","0.0","1.02"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-07-17T12:28:59.21527944Z[Etc/UTC]","0.0","1.01"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-07-17T12:29:00.321589393Z[Etc/UTC]","0.0","1.06"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-07-17T12:29:05.325872152Z[Etc/UTC]","0.0","1.67"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-07-17T12:28:40.47988835Z[Etc/UTC]","0.0","0.63"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-07-17T12:28:41.219671413Z[Etc/UTC]","0.0","0.96"
